Date,Rot,VH,Team,Pitcher,,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RunLine
402,901,V,SFO,MBUMGARNER-L,,0,1,0,0,1,1,1,0,1,5,-130,-144,-1.5(+110)
402,902,H,ARI,ZGREINKE-R,,0,0,0,0,0,3,0,1,2,6,8u20,8.5o20,+1.5(-130)
402,903,V,CUB,JLESTER-L,,0,0,0,0,0,0,0,0,3,3,-125,-126,-1.5(+135)
402,904,H,STL,CMARTINEZ-R,,0,0,1,0,0,0,0,2,1,4,7.5u20,7o20,+1.5(-155)
402,905,V,NYY,MTANAKA-R,,0,2,0,0,0,0,0,0,1,3,-120,-110,-1.5(+151)
402,906,H,TAM,CARCHER-R,,3,2,2,0,0,0,0,0,x,7,7u20,7,+1.5(-175)
403,951,V,MIA,EVOLQUEZ-R,,0,0,0,2,0,0,0,0,0,2,7.5u20,8.5o14,+1.5(-120)
403,952,H,WAS,SSTRASBURG-R,,0,0,0,0,0,1,2,1,x,4,-210,-215,-1.5(+100)
403,953,V,ATL,JTEHERAN-R,,0,0,0,0,0,0,0,0,0,0,6.5,7o25,+1.5(-140)
403,954,H,NYM,NSYNDERGAARD-R,,0,0,0,0,0,0,6,0,x,6,-155,-183,-1.5(+120)
403,955,V,COL,JGRAY-R,,0,2,0,2,0,0,2,0,1,7,8.5,-125,-1.5(+130)
403,956,H,MIL,JGUERRA-R,,0,0,0,0,5,0,0,0,0,5,-119,8.5o15,+1.5(-150)
403,957,V,SDG,JCHACIN-R,,1,0,0,0,0,0,1,1,0,3,6o20,6.5o20,+1.5(+132)
403,958,H,LOS,CKERSHAW-L,,0,1,5,3,3,0,0,2,x,14,-360,-360,-1.5(-152)
403,959,V,PHI,JHELLICKSON-R,,2,1,0,0,0,1,0,0,0,4,9o20,8.5o15,+1.5(-205)
403,960,H,CIN,SFELDMAN-R,,0,0,1,0,0,0,0,0,2,3,-115,-111,-1.5(+172)
403,963,V,SEA,FHERNANDEZ-R,,0,0,0,0,0,0,0,0,0,0,8,8.5o20,+1.5(-155)
403,964,H,HOU,DKEUCHEL-L,,1,0,0,1,0,1,0,0,x,3,-125,-156,-1.5(+135)
403,965,V,TOR,MESTRADA-R,,0,0,0,0,1,1,0,0,0,2,-110,8.5o20,+1.5(-180)
403,966,H,BAL,KGAUSMAN-R,,0,0,2,0,0,0,0,0,0,3,8.5,-131,-1.5(+155)
403,967,V,KAN,DDUFFY-L,,0,0,0,1,0,0,0,0,0,1,8o20,-107,-1.5(+150)
403,968,H,MIN,ESANTANA-R,,0,0,0,1,0,0,6,0,x,7,-115,8u18,+1.5(-174)
403,969,V,CLE,CKLUBER-R,,0,0,1,2,0,0,1,1,3,8,8o20,-109,-1.5(+140)
403,970,H,TEX,YDARVISH-R,,0,1,4,0,0,0,0,0,0,5,-125,8,+1.5(-160)
403,971,V,LAA,RNOLASCO-R,,0,0,2,0,0,0,0,0,0,2,-115,100,+1.5(-215)
403,972,H,OAK,KGRAVEMAN-R,,0,1,0,0,1,1,0,1,x,4,8,8o15,-1.5(+180)
403,973,V,PIT,GCOLE-R,,0,0,0,0,0,0,3,0,0,3,9,8.5o15,+1.5(-155)
403,974,H,BOS,RPORCELLO-R,,0,0,0,0,5,0,0,0,x,5,-165,-145,-1.5(+135)
404,901,V,COL,TANDERSON-L,,0,0,4,0,2,0,0,0,0,6,8.5u15,-108,-1.5(+151)
404,902,H,MIL,ZDAVIES-R,,0,1,0,2,0,2,0,0,0,5,-115,8,+1.5(-175)
404,903,V,CUB,JARRIETA-R,,0,0,0,2,0,0,0,0,0,2,-150,-145,-1.5(+115)
404,904,H,STL,AWAINWRIGHT-R,,0,0,0,0,1,0,0,0,0,1,7.5u20,7,+1.5(-135)
404,905,V,SFO,JCUETO-R,,0,2,1,0,5,0,0,0,0,8,-150,-134,-1.5(+120)
404,906,H,ARI,PCORBIN-L,,0,0,0,2,2,0,0,0,0,4,9,9o15,+1.5(-140)
404,907,V,SDG,CRICHARD-L,,2,0,1,0,0,0,0,1,0,4,7.5u20,7.5u20,+1.5(-105)
404,908,H,LOS,KMAEDA-R,,0,0,0,0,0,0,0,0,0,0,-210,-233,-1.5(-115)
404,909,V,NYY,CSABATHIA-L,,0,0,3,0,0,1,0,1,0,5,7.5,7.5o20,+1.5(-215)
404,910,H,TAM,JODORIZZI-R,,0,0,0,0,0,0,0,0,0,0,-120,-114,-1.5(+180)
404,911,V,CLE,CCARRASCO-R,,1,2,0,0,0,0,1,0,0,4,-125,-168,-1.5(-110)
404,912,H,TEX,MPEREZ-L,,0,2,0,0,0,0,0,0,1,3,9u20,9o25,+1.5(-110)
404,913,V,SEA,HIWAKUMA-R,,0,0,0,1,0,0,0,0,0,1,8.5u15,8.5o15,+1.5(-145)
404,914,H,HOU,LMCCULLERS-R,,0,0,1,0,0,1,0,0,x,2,-125,-160,-1.5(+125)
404,915,V,LAA,MSHOEMAKER-R,,0,3,0,0,1,0,0,0,3,7,7.5,-117,-1.5(+135)
404,916,H,OAK,SMANAEA-L,,1,1,0,0,0,0,4,0,0,6,-120,7.5o20,+1.5(-155)
404,917,V,DET,JVERLANDER-R,,0,5,0,1,0,0,0,0,0,6,-125,-125,-1.5(+125)
404,918,H,CWS,JQUINTANA-L,,1,0,0,1,0,0,0,0,1,3,7.5u25,7.5u25,+1.5(-145)
405,953,V,MIA,DSTRAILY-R,,2,0,0,0,0,0,0,1,1,4,8o15,8.5o28,+1.5(-150)
405,954,H,WAS,TROARK-R,,0,1,0,4,1,0,0,0,x,6,-181,-160,-1.5(+130)
405,955,V,PHI,JEICKHOFF-R,,0,0,0,0,0,0,0,0,0,0,9u15,-105,+1.5(-220)
405,956,H,CIN,BFINNEGAN-L,,0,0,0,0,0,0,2,0,x,2,-111,8.5,-1.5(+184)
405,957,V,ATL,BCOLON-R,,0,0,0,0,0,0,1,0,0,3,7u20,7o20,+1.5(-125)
405,958,H,NYM,JDEGROM-R,,0,0,0,0,1,0,0,0,0,1,-200,-205,-1.5(+105)
405,959,V,COL,TCHATWOOD-R,,0,0,0,0,0,0,0,0,1,1,-114,-128,-1.5(+130)
405,960,H,MIL,WPERALTA-R,,0,0,0,3,0,1,0,2,x,6,9o20,9,+1.5(-150)
405,961,V,SFO,MMOORE-L,,0,1,2,0,1,0,0,2,0,6,-126,-101,+1.5(-205)
405,962,H,ARI,TWALKER-R,,0,0,1,0,3,2,2,0,x,8,9.5u20,9.5,-1.5(+172)
405,963,V,SDG,TCAHILL-R,,0,0,0,1,0,0,0,0,0,1,7o25,7.5,+1.5(-110)
405,964,H,LOS,RHILL-L,,2,0,0,1,0,0,0,0,x,3,-260,-245,-1.5(-110)
405,965,V,KAN,IKENNEDY-R,,0,0,0,1,0,0,0,0,0,1,8.5,8.5u19,+1.5(-210)
405,966,H,MIN,HSANTIAGO-L,,0,3,0,0,0,0,6,0,x,9,-111,-117,-1.5(+176)
405,967,V,NYY,MPINEDA-R,,0,1,0,0,0,0,0,0,0,1,7.5,-135,-1.5(+130)
405,968,H,TAM,ACOBB-R,,1,3,0,0,0,0,0,0,x,4,-115,7.5u20,+1.5(-150)
405,969,V,TOR,JHAPP-L,,0,0,1,0,0,0,0,0,0,1,-111,8.5o19,+1.5(-205)
405,970,H,BAL,DBUNDY-R,,0,0,2,1,0,0,0,0,x,3,9u20,-117,-1.5(+172)
405,971,V,CLE,DSALAZAR-R,,0,0,0,2,1,1,0,0,5,9,8.5o20,-115,-1.5(+144)
405,972,H,TEX,CHAMELS-L,,2,0,0,0,3,0,1,0,0,6,-118,8o20,+1.5(-165)
405,975,V,SEA,JPAXTON-L,,0,0,0,0,2,0,0,0,0,3,-120,7.5o15,+1.5(-215)
405,976,H,HOU,CMORTON-R,,0,0,0,0,0,0,2,0,0,5,9u15,-107,-1.5(+180)
405,977,V,LAA,GRICHARDS-R,,0,3,0,0,2,0,0,0,0,5,-118,-108,-1.5(+140)
405,978,H,OAK,JCOTTON-R,,0,0,0,0,0,0,0,0,0,0,7.5o15,8.5u25,+1.5(-160)
405,979,V,PIT,JTAILLON-R,,0,0,0,0,0,0,0,0,0,0,8.5u25,7.5o15,+1.5(-145)
405,980,H,BOS,CSALE-L,,0,0,0,0,0,0,0,0,0,3,-201,-165,-1.5(+125)
406,901,V,PHI,CBUCHHOLZ-R,,1,0,3,0,0,0,0,0,0,4,-104,9u25,+1.5(-200)
406,902,H,CIN,RDAVIS-R,,0,1,0,3,0,1,2,0,x,7,8.5o20,-127,-1.5(+170)
406,903,V,COL,ASENZATELA-R,,0,0,1,0,0,0,0,0,1,2,-115,-107,+1.5(-220)
406,904,H,MIL,CANDERSON-R,,0,0,0,0,0,0,1,0,0,1,9.5u20,9.5u20,-1.5(+184)
406,905,V,SDG,JWEAVER-R,,0,0,0,0,0,2,0,0,0,2,8,8.5o20,+1.5(+105)
