"Date","Visitor","Home","Pitcher.V","Pitcher.H","Score.V","Score.H"
2017-08-01,"CIN","PIT","HBAILEY-R","JTAILLON-R","9","1"
2017-08-01,"WSH","MIA","MSCHERZER-R","CO'GRADY-L","6","7"
2017-08-01,"LAD","ATL","KMAEDA-R","LSIMS-R","3","2"
2017-08-01,"STL","MIL","CMARTINEZ-R","JNELSON-R","2","3"
2017-08-01,"ARI","CHC","PCORBIN-L","JLESTER-L","4","16"
2017-08-01,"NYM","COL","SMATZ-L","JHOFFMAN-R","4","5"
2017-08-01,"KC","BAL","IKENNEDY-R","DBUNDY-R","2","7"
2017-08-01,"DET","NYY","ASANCHEZ-R","CSABATHIA-L","4","3"
2017-08-01,"CLE","BOS","CCARRASCO-R","CSALE-L","10","12"
2017-08-01,"SEA","TEX","ERAMIREZ-R","NMARTINEZ-R","8","7"
2017-08-01,"TOR","CHW","MSTROMAN-R","MPELFREY-R","8","4"
2017-08-01,"TB","HOU","CARCHER-R","MFIERS-R","6","4"
2017-08-01,"SF","OAK","JSAMARDZIJA-R","SMANAEA-L","10","4"
2017-08-01,"PHI","LAA","ANOLA-R","RNOLASCO-R","1","7"
2017-08-01,"MIN","SD","JBERRIOS-R","JCHACIN-R","0","3"
2017-08-02,"CIN","PIT","RSTEPHENSON-R","TWILLIAMS-R","5","2"
2017-08-02,"WSH","MIA","ACOLE-R","VWORLEY-R","0","7"
2017-08-02,"LAD","ATL","BSTEWART-R","JTEHERAN-R","3","5"
2017-08-02,"ARI","CHC","ZGODLEY-R","JARRIETA-R","3","0"
2017-08-02,"STL","MIL","LWEAVER-R","BSUTER-L","5","4"
2017-08-02,"NYM","COL","CFLEXEN-R","TCHATWOOD-R","10","5"
2017-08-02,"DET","NYY","JZIMMERMANN-R","MTANAKA-R","2","0"
2017-08-02,"TOR","CHW","JHAPP-L","DHOLLAND-L","5","1"
2017-08-02,"KC","BAL","JVARGAS-L","JHELLICKSON-R","0","6"
2017-08-02,"SEA","TEX","AMIRANDA-L","ACASHNER-R","1","5"
2017-08-02,"TB","HOU","APRUITT-R","DKEUCHEL-L","3","0"
2017-08-02,"MIN","SD","ESANTANA-R","LPERDOMO-R","5","2"
2017-08-02,"PHI","LAA","JTHOMPSON-R","JRAMIREZ-R","0","7"
2017-08-02,"OAK","SF","DGOSSETT-R","MMOORE-L","6","1"
2017-08-03,"STL","MIL","MWACHA-R","MGARZA-R","1","2"
2017-08-03,"ARI","CHC","ZGREINKE-R","JQUINTANA-L","10","8"
2017-08-03,"NYM","COL","RMONTERO-R","GMARQUEZ-R","4","5"
2017-08-03,"CIN","PIT","SROMANO-R","CKUHL-R","0","6"
2017-08-03,"LAD","ATL","AWOOD-L","SNEWCOMB-L","7","4"
2017-08-03,"DET","BAL","MBOYD-L","CTILLMAN-R","7","5"
2017-08-03,"CHW","BOS","MGONZALEZ-R","RPORCELLO-R","5","9"
2017-08-03,"NYY","CLE","SGRAY-R","CKLUBER-R","1","5"
2017-08-03,"TB","HOU","BSNELL-L","CMCHUGH-R","5","3"
2017-08-03,"TEX","MIN","AGRIFFIN-R","AMEJIA-L","4","1"
2017-08-03,"SEA","KC","YGALLARDO-R","TCAHILL-R","4","6"
2017-08-03,"PHI","LAA","JEICKHOFF-R","PBRIDWELL-R","4","5"
2017-08-03,"OAK","SF","KGRAVEMAN-R","TBLACH-L","2","11"
2017-08-04,"WSH","CHC","TROARK-R","KHENDRICKS-R","4","2"
2017-08-04,"STL","CIN","MLEAKE-R","WOJCIECHOWSKI-R","2","3"
2017-08-04,"SD","PIT","TWOOD-L","INOVA-R","6","10"
2017-08-04,"LAD","NYM","YDARVISH-R","JDEGROM-R","6","0"
2017-08-04,"MIA","ATL","ACONLEY-L","RDICKEY-R","3","5"
2017-08-04,"PHI","COL","VVELASQUEZ-R","KFREELAND-L","3","4"
2017-08-04,"ARI","SF","ABANDA-L","MBUMGARNER-L","2","1"
2017-08-04,"DET","BAL","JVERLANDER-R","KGAUSMAN-R","5","2"
2017-08-04,"CHW","BOS","CRODON-L","ERODRIGUEZ-L","2","3"
2017-08-04,"NYY","CLE","JGARCIA-L","TBAUER-R","2","7"
2017-08-04,"TOR","HOU","CVALDEZ-R","BPEACOCK-R","7","16"
2017-08-04,"TEX","MIN","MPEREZ-L","BCOLON-R","4","8"
2017-08-04,"SEA","KC","JPAXTON-L","JHAMMEL-R","5","2"
2017-08-04,"OAK","LAA","JCOTTON-R","TSCRIBNER-R","6","8"
2017-08-04,"MIL","TB","BWOODRUFF-R","JFARIA-R","2","0"
2017-08-05,"WSH","CHC","EJACKSON-R","JLACKEY-R","4","7"
2017-08-05,"LAD","NYM","RHILL-L","SLUGO-R","7","4"
2017-08-05,"SD","PIT","DLAMET-R","GCOLE-R","5","2"
2017-08-05,"MIA","ATL","DSTRAILY-R","MFOLTYNEWICZ-R","2","7"
2017-08-05,"STL","CIN","LLYNN-R","LCASTILLO-R","4","1"
2017-08-05,"PHI","COL","NPIVETTA-R","JGRAY-R","5","8"
2017-08-05,"ARI","SF","TWALKER-R","CSTRATTON-R","4","5"
2017-08-05,"DET","BAL","DVERHAGEN-R","WMILEY-L","2","5"
2017-08-05,"CHW","BOS","JSHIELDS-R","DPOMERANZ-L","1","4"
2017-08-05,"TOR","HOU","MESTRADA-R","CMORTON-R","4","3"
2017-08-05,"NYY","CLE","JMONTGOMERY-L","DSALAZAR-R","2","1"
2017-08-05,"TEX","MIN","CHAMELS-L","KGIBSON-R","4","1"
2017-08-05,"OAK","LAA","PBLACKBURN-R","TSKAGGS-L","5","0"
2017-08-05,"MIL","TB","ZDAVIES-R","ACOBB-R","3","0"
2017-08-06,"STL","CIN","AWAINWRIGHT-R","HBAILEY-R","13","4"
2017-08-06,"LAD","NYM","HRYU-L","SMATZ-L","8","0"
2017-08-06,"SD","PIT","CRICHARD-L","JTAILLON-R","4","5"
2017-08-06,"MIA","ATL","JURENA-R","LSIMS-R","4","1"
2017-08-06,"WSH","CHC","EFEDDE-R","JLESTER-L","9","4"
2017-08-06,"PHI","COL","ANOLA-R","JHOFFMAN-R","3","2"
2017-08-06,"ARI","SF","PCORBIN-L","JSAMARDZIJA-R","3","6"
2017-08-06,"NYY","CLE","LSEVERINO-R","CCARRASCO-R","8","1"
2017-08-06,"DET","BAL","ASANCHEZ-R","UJIMENEZ-R","3","12"
2017-08-06,"CHW","BOS","MPELFREY-R","DFISTER-R","3","6"
